Domain,MPA,Std. Mean Diff,AI SE,,,,
Place attachment,Kaimana MPA,-0.001,0.167,,,,
Material assets,Kaimana MPA,0.337,0.169,,,,
School enrollment,Kaimana MPA,0.03,0.167,,,,
Food security,Kaimana MPA,0.487,0.169,,,,
Marine tenure,Kaimana MPA,-0.437,0.169,,,,
Place attachment,Kofiau dan Pulau Boo MPA,0.094,0.167,,,,
Material assets,Kofiau dan Pulau Boo MPA,-0.094,0.167,,,,
School enrollment,Kofiau dan Pulau Boo MPA,0.388,0.168,,,,
Food security,Kofiau dan Pulau Boo MPA,-0.192,0.167,,,,
Marine tenure,Kofiau dan Pulau Boo MPA,0.081,0.167,,,,
Place attachment,Misool Selatan Timur MPA,0.104,0.167,,,,
Material assets,Misool Selatan Timur MPA,0.091,0.167,,,,
School enrollment,Misool Selatan Timur MPA,-0.155,0.167,,,,
Food security,Misool Selatan Timur MPA,0.421,0.169,,,,
Marine tenure,Misool Selatan Timur MPA,-0.134,0.168,,,,
Place attachment,Selat Dampier MPA,-0.133,0.168,,,,
Material assets,Selat Dampier MPA,0.493,0.17,,,,
School enrollment,Selat Dampier MPA,0.172,0.167,,,,
Food security,Selat Dampier MPA,0.474,0.17,,,,
Marine tenure,Selat Dampier MPA,0.172,0.167,,,,
Place attachment,Teluk Cenderawasih National Park,-0.645,0.171,,,,
Material assets,Teluk Cenderawasih National Park,-0.04,0.167,,,,
School enrollment,Teluk Cenderawasih National Park,0.284,0.168,,,,
Food security,Teluk Cenderawasih National Park,0.026,0.167,,,,
Marine tenure,Teluk Cenderawasih National Park,-0.238,0.168,,,,
Place attachment,Teluk Mayalibit MPA,0.218,0.168,,,,
Material assets,Teluk Mayalibit MPA,-0.151,0.167,,,,
School enrollment,Teluk Mayalibit MPA,0.36,0.169,,,,
Food security,Teluk Mayalibit MPA,-0.287,0.168,,,,
Marine tenure,Teluk Mayalibit MPA,-0.167,0.167,,,,
