Year,C,CO2
1990,1.4442218,5.291628675
1991,1.6358689,5.99382365
1992,1.6820379,6.162986866
1993,1.5457908,5.663777491
1994,1.5028061,5.50628155
1995,1.4851806,5.441701718
1996,1.4693037,5.383528757
1997,2.181991871,7.994818217
1998,1.540311971,5.643703063
1999,1.302641171,4.772877252
2000,1.200610571,4.399037134
2001,0.961219671,3.521908876
2002,1.070004171,3.920495284
2003,0.900496271,3.299418339
2004,1.037584471,3.801709503
2005,1.025036071,3.755732166
2006,1.091981171,4.001019012
2007,0.965626871,3.538056857
2008,0.667933271,2.447307507
2009,0.754406171,2.764144212
2010,0.884574071,3.241079398
2011,0.913101271,3.345603059
2012,0.970101271,3.554451059
2013,0.918101271,3.363923059
2014,1.095101271,4.012451059
2015,1.317101271,4.825859059
